Rejection rate,Impact Factor (2014),Journal Title
0.98,1.252,ORTHOPEDIC CLINICS OF NORTH AMERICA
0.95,1.661,JOURNAL OF CELLULAR PLASTICS
0.94,35.289,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
0.94,55.873,NEW ENGLAND JOURNAL OF MEDICINE
0.93,0.82,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES
0.93,17.445,BMJ-British Medical Journal
0.93,1.115,PARLIAMENTARY AFFAIRS
0.926,36.503,NATURE MATERIALS
0.92,1.773,JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR
0.92,41.456,NATURE
0.92,16.095,NATURE NEUROSCIENCE
0.92,33.611,SCIENCE
0.92,0.559,Scientific Programming
0.91,4.799,JOURNAL OF APPLIED PSYCHOLOGY
0.9,2.668,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE
0.9,1.17,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY
0.9,14.756,PSYCHOLOGICAL BULLETIN
0.89,5.031,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
0.88,5.064,COGNITIVE PSYCHOLOGY
0.88,2.704,EUROPEAN JOURNAL OF AGRONOMY
0.88,3.829,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH
0.88,2.561,MINERALIUM DEPOSITA
0.88,2.519,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS
0.87,1.144,EUROPEAN ECONOMIC REVIEW
0.87,2.243,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES
0.87,0.455,Oral Radiology
0.87,2.169,JOURNAL OF THROMBOSIS AND THROMBOLYSIS
0.86,2.568,Drug Metabolism and Pharmacokinetics
0.86,8.41,JOURNAL OF AUTOIMMUNITY
0.86,3.518,Deutsches Arzteblatt International
0.86,0.675,JOURNAL OF STATISTICAL PLANNING AND INFERENCE
0.86,7.972,PSYCHOLOGICAL REVIEW
0.85,1.1,JOURNAL OF PERINATAL & NEONATAL NURSING
0.85,1.135,IET Radar Sonar and Navigation
0.85,1.86,Human Resource Management Journal
0.85,9.343,PLOS BIOLOGY
0.85,3.224,SCRIPTA MATERIALIA
0.84,1.4,Annals of General Psychiatry
0.84,4.847,ELECTROCHEMISTRY COMMUNICATIONS
0.84,2.017,JOURNAL OF ATHLETIC TRAINING
0.84,3.59,HEALTH PSYCHOLOGY
0.84,0.659,NATURAL AREAS JOURNAL
0.84,1.194,Jornal de Pediatria
0.84,5.153,JOURNAL OF ABNORMAL PSYCHOLOGY
0.84,0.44,JOURNAL OF SYSTEMS ARCHITECTURE
0.84,3.501,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH
0.84,7.338,PSYCHOLOGICAL METHODS
0.84,1.458,Biomedical Engineering-Biomedizinische Technik
0.84,1.879,JALA
0.84,0.637,Statistical Methodology
0.83,6.932,CLINICAL PSYCHOLOGY REVIEW
0.83,2.815,VETERINARY RESEARCH
0.83,2.749,JOURNAL OF DENTISTRY
0.83,2.998,JOURNAL OF ETHNOPHARMACOLOGY
0.83,5.929,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL
0.83,2.474,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY
0.83,2.229,HEALTH EDUCATION & BEHAVIOR
0.83,1.845,MATERIALS CHARACTERIZATION
0.83,3.22,WASTE MANAGEMENT
0.82,1.617,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY
0.82,2.906,AGRICULTURAL SYSTEMS
0.82,2.685,URBAN ECOSYSTEMS
0.82,9.322,eLife
0.82,2.976,BRITISH JOURNAL OF OPHTHALMOLOGY
0.82,2.225,NDT & E INTERNATIONAL
0.82,1.156,REVIEW OF GENERAL PSYCHOLOGY
0.81,3.402,CURRENT TOPICS IN MEDICINAL CHEMISTRY
0.81,1.264,MARINE GEOPHYSICAL RESEARCH
0.81,2.172,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA
0.81,3.071,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING
0.81,1.929,PRECISION AGRICULTURE
0.81,3.383,EMOTION
0.81,1.659,ENGLISH FOR SPECIFIC PURPOSES
0.81,2.818,FOOD RESEARCH INTERNATIONAL
0.81,3.681,Information Fusion
0.81,0.44,JOURNAL OF SYSTEMS ARCHITECTURE
0.81,2.02,Clinical Lymphoma Myeloma & Leukemia
0.81,15,Nano Today
0.81,2.24,POLYMER TESTING
0.81,2.564,RESOURCES CONSERVATION AND RECYCLING
0.81,2.182,SCHOOL PSYCHOLOGY QUARTERLY
0.81,5.528,Family Business Review
0.8,1.713,JOURNAL OF FAMILY PSYCHOLOGY
0.8,4.141,DEVELOPMENTAL PSYCHOLOGY
0.8,1.537,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS
0.8,1.297,HEALTH COMMUNICATION
0.8,1.506,International Journal of Engine Research
0.8,11.47,Nature Communications
0.8,1.293,PHYSIOLOGICAL RESEARCH
0.79,3.762,EXPERIMENTAL DERMATOLOGY
0.79,4.494,BIORESOURCE TECHNOLOGY
0.79,1.448,POSTGRADUATE MEDICAL JOURNAL
0.79,1.728,CITIES
0.79,2.72,ECOLOGICAL ECONOMICS
0.79,0.364,Kyushu Journal of Mathematics
0.79,1,4OR-A Quarterly Journal of Operations Research
0.79,0.446,Sains Malaysiana
0.79,2.475,JOURNAL OF COUNSELING PSYCHOLOGY
0.79,3.574,Current Opinion in Allergy and Clinical Immunology
0.79,4.237,CANCER JOURNAL
0.79,2.216,Seminars in Pediatric Surgery
0.79,2.515,REACTIVE & FUNCTIONAL POLYMERS
0.79,2.554,TOURISM MANAGEMENT
0.78,2.145,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY
0.78,3.769,EuroIntervention
0.78,2.322,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A
0.78,1.299,Brazilian Journal of Infectious Diseases
0.78,3.358,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE
0.78,2.862,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES
0.78,1.713,JOURNAL OF FAMILY PSYCHOLOGY
0.78,2.771,Acta Orthopaedica
0.78,11.336,JOURNAL OF HEPATOLOGY
0.78,6.135,OPHTHALMOLOGY
0.78,2.646,BLOOD CELLS MOLECULES AND DISEASES
0.77,1.97,CLINICAL BIOMECHANICS
0.77,1.466,European Journal of Medical Genetics
0.77,3.273,Innovative Food Science & Emerging Technologies
0.77,2.451,INTERNATIONAL JOURNAL OF APPROXIMATE REASONING
0.77,1.565,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY
0.77,3.568,International Journal of Polymeric Materials and Polymeric Biomaterials
0.77,3.512,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY
0.77,2.444,JOURNAL OF AGRONOMY AND CROP SCIENCE
0.77,4.165,American Journal of Cancer Research
0.77,1.936,KNEE
0.76,4.465,ACTA MATERIALIA
0.76,0.596,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA
0.76,1.562,Nature + Culture
0.76,0.877,ATMOSFERA
0.76,1.749,Gastroenterology Research and Practice
0.76,2.606,Evolutionary Biology
0.76,1.058,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS
0.76,1.568,FOLIA NEUROPATHOLOGICA
0.76,0.658,Intelligent Service Robotics
0.76,5.078,NEUROBIOLOGY OF DISEASE
0.76,1.469,Therapeutics and Clinical Risk Management
0.76,0.667,VIRTUAL REALITY
0.75,6.1,AMERICAN PSYCHOLOGIST
0.75,0.532,Journal of Toxicologic Pathology
0.75,4.513,ANALYTICA CHIMICA ACTA
0.75,1.997,ANIMAL FEED SCIENCE AND TECHNOLOGY
0.75,0.871,REPORTS ON MATHEMATICAL PHYSICS
0.75,3.395,BEHAVIOUR RESEARCH AND THERAPY
0.75,2.786,Regenerative Medicine
0.75,0.339,INTERNATIONAL REVIEW OF LAW AND ECONOMICS
0.75,0.792,Carpathian Journal of Mathematics
0.75,1.171,Medicina Oral Patologia Oral y Cirugia Bucal
0.75,2.567,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING
0.75,3.607,PLANT SCIENCE
0.75,0.546,JOURNAL OF RUSSIAN LASER RESEARCH
0.75,2.751,JOURNAL OF BIOMECHANICS
0.75,0.56,JOURNAL OF PIDGIN AND CREOLE LANGUAGES
0.75,2.747,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS
0.74,0.984,Mind Brain and Education
0.74,2.4,JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM
0.74,4.373,ENVIRONMENTAL RESEARCH
0.74,1.986,BIOPHYSICAL CHEMISTRY
0.74,0.481,Fetal and Pediatric Pathology
0.74,3.051,Frontiers in Zoology
0.74,7.705,JOURNAL OF CONTROLLED RELEASE
0.74,2.979,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS
0.74,2.736,JOURNAL OF PSYCHOSOMATIC RESEARCH
0.74,0.762,Review of African Political Economy
0.74,2.188,PATHOLOGY
0.73,0.744,Advances in Materials Science and Engineering
0.73,0.646,ARDEA
0.73,1.639,AVIAN PATHOLOGY
0.73,4.422,CORROSION SCIENCE
0.73,4.59,JOURNAL OF BIOGEOGRAPHY
0.73,5.567,INTERNATIONAL JOURNAL OF PLASTICITY
0.73,1.143,JOURNAL OF INSECT BEHAVIOR
0.73,2.117,CURRENT ORGANIC SYNTHESIS
0.73,1.425,Journal of Ophthalmology
0.73,6.357,NEUROIMAGE
0.73,1.511,PALAIOS
0.73,1.156,REVIEW OF GENERAL PSYCHOLOGY
0.72,3.762,EXPERIMENTAL DERMATOLOGY
0.72,2.286,AGRICULTURAL WATER MANAGEMENT
0.72,3.871,AMERICAN JOURNAL OF OPHTHALMOLOGY
0.72,3.942,APPLIED CATALYSIS A-GENERAL
0.72,4.172,BIOELECTROCHEMISTRY
0.72,3.973,BONE
0.72,1.287,COMPUTERS IN INDUSTRY
0.72,1.562,Nature + Culture
0.72,3.169,JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY
